timestamp,day,count
2022-09-10 13:00:02.443895,2022-09-10,1
2022-09-10 18:00:01.861403,2022-09-10,3
2022-09-11 02:00:02.020845,2022-09-11,0
2022-09-11 16:00:01.653950,2022-09-11,5
2022-09-12 02:00:01.709163,2022-09-12,0
2022-09-12 20:00:02.044989,2022-09-13,0
2022-09-12 20:00:02.044989,2022-09-12,3
2022-09-12 20:00:02.044989,2022-09-10,2
2022-09-12 20:00:02.044989,2022-09-09,4
2022-09-14 02:00:02.592266,2022-09-14,0
2022-09-14 02:00:02.592266,2022-09-13,3
2022-09-14 02:00:02.592266,2022-09-12,4
2022-09-14 17:00:01.720368,2022-09-14,4
2022-09-14 18:00:02.583035,2022-09-14,5
2022-09-15 02:00:01.987750,2022-09-15,0
2022-09-15 18:00:01.646813,2022-09-15,3
2022-09-16 02:00:02.208063,2022-09-16,0
2022-09-16 18:00:02.255480,2022-09-16,4
2022-09-17 02:00:02.173175,2022-09-17,0
2022-09-18 03:00:02.402203,2022-09-18,0
2022-09-18 10:00:01.784603,2022-09-17,1
2022-09-18 14:00:02.233298,2022-09-18,4
2022-09-19 02:00:01.935948,2022-09-19,0
2022-09-19 18:00:01.657649,2022-09-19,7
2022-09-19 18:00:01.657649,2022-09-18,3
2022-09-19 18:00:01.657649,2022-09-15,6
2022-09-20 02:00:02.338821,2022-09-20,0
2022-09-21 10:00:01.685070,2022-09-21,0
2022-09-21 10:00:01.685070,2022-09-20,6
2022-09-21 10:00:01.685070,2022-09-19,8
2022-09-21 10:00:01.685070,2022-09-16,5
2022-09-21 18:00:02.206919,2022-09-21,3
2022-09-21 18:00:02.206919,2022-09-20,8
2022-09-21 18:00:02.206919,2022-09-18,4
2022-09-22 07:00:02.618657,2022-09-22,0
2022-09-22 18:00:02.157182,2022-09-22,5
2022-09-22 18:00:02.157182,2022-09-21,4
2022-09-23 02:00:02.002969,2022-09-23,0
2022-09-23 18:00:01.740507,2022-09-23,3
2022-09-23 18:00:01.740507,2022-09-22,6
2022-09-24 02:00:01.843977,2022-09-24,0
2022-09-24 17:00:01.977756,2022-09-24,1
2022-09-25 02:00:01.664880,2022-09-25,0
2022-09-25 11:00:01.825332,2022-09-24,6
2022-09-25 11:00:01.825332,2022-09-22,7
2022-09-25 23:00:02.468422,2022-09-26,0
2022-09-26 18:00:02.599338,2022-09-26,5
2022-09-26 18:00:02.599338,2022-09-23,4
2022-09-27 02:00:02.454808,2022-09-27,0
2022-09-27 18:00:01.983301,2022-09-27,6
2022-09-27 18:00:01.983301,2022-09-26,6
2022-09-28 02:00:02.571707,2022-09-28,0
2022-09-28 18:00:02.339381,2022-09-28,1
2022-09-28 18:00:02.339381,2022-09-27,7
2022-09-29 02:00:02.079060,2022-09-29,0
2022-09-29 18:00:02.297677,2022-09-29,1
2022-09-30 02:00:02.050246,2022-09-30,0
2022-09-30 18:00:02.556058,2022-09-30,2
2022-10-01 07:00:01.718225,2022-10-01,0
2022-10-01 18:00:02.576175,2022-10-01,1
2022-10-01 18:00:02.576175,2022-09-30,3
2022-10-02 14:00:02.477071,2022-10-01,2
2022-10-03 18:00:01.884012,2022-10-03,1
2022-10-03 18:00:01.884012,2022-10-02,1
2022-10-04 02:00:02.632009,2022-10-04,0
2022-10-04 18:00:02.667252,2022-10-04,2
2022-10-04 18:00:02.667252,2022-10-03,2
2022-10-04 18:00:02.667252,2022-10-02,2
2022-10-05 02:00:02.363353,2022-10-05,0
2022-10-05 18:00:01.983436,2022-10-05,3
2022-10-06 02:00:02.341428,2022-10-06,0
2022-10-06 09:00:02.037467,2022-10-05,4
2022-10-06 18:00:01.722099,2022-10-06,1
2022-10-06 18:00:01.722099,2022-10-05,5
2022-10-07 02:00:02.341299,2022-10-07,0
2022-10-08 02:00:01.825312,2022-10-08,0
2022-10-09 02:00:02.021265,2022-10-09,0
2022-10-10 02:00:02.537753,2022-10-10,0
2022-10-10 02:00:02.537753,2022-10-08,1
2022-10-10 18:00:01.783439,2022-10-10,2
2022-10-10 18:00:01.783439,2022-10-09,1
2022-10-11 07:00:02.583795,2022-10-11,0
2022-10-12 06:00:01.896321,2022-10-12,0
2022-10-12 18:00:02.266619,2022-10-12,1
2022-10-13 02:00:02.082291,2022-10-13,0
2022-10-13 18:00:01.816685,2022-10-13,1
2022-10-14 02:00:01.670027,2022-10-14,0
2022-10-14 18:00:02.554829,2022-10-14,1
2022-10-15 02:00:02.499479,2022-10-15,0
2022-10-16 02:00:01.881413,2022-10-16,0
2022-10-17 02:00:02.620030,2022-10-17,0
2022-10-18 05:00:02.522611,2022-10-18,0
2022-10-18 18:00:01.974834,2022-10-18,3
2022-10-18 18:00:01.974834,2022-10-17,1
2022-10-19 02:00:01.990326,2022-10-19,0
2022-10-20 02:00:01.766855,2022-10-20,0
2022-10-21 02:00:02.403916,2022-10-21,0
2022-10-21 19:00:02.322831,2022-10-22,0
2022-10-23 02:00:01.791577,2022-10-23,0
2022-10-23 02:00:01.791577,2022-10-22,1
2022-10-23 14:00:02.248189,2022-10-23,1
2022-10-24 02:00:02.346410,2022-10-24,0
2022-10-24 18:00:01.884946,2022-10-24,1
2022-10-24 18:00:01.884946,2022-10-22,2
2022-10-25 02:00:01.918474,2022-10-25,0
2022-10-25 19:00:01.628866,2022-10-26,0
2022-10-26 17:00:02.572621,2022-10-25,1
2022-10-27 02:00:01.748946,2022-10-27,0
2022-10-27 18:00:02.439552,2022-10-27,2
2022-10-28 07:00:01.834966,2022-10-28,0
2022-10-29 02:00:02.088093,2022-10-29,0
2022-10-30 02:00:01.951187,2022-10-30,0
2022-10-30 14:00:02.279375,2022-10-30,1
2022-10-31 02:00:02.058840,2022-10-31,0
2022-10-31 18:00:01.972046,2022-10-31,2
2022-11-01 02:00:02.188718,2022-11-01,0
2022-11-01 18:00:01.923322,2022-11-01,1
2022-11-01 18:00:01.923322,2022-10-28,1
2022-11-02 02:00:02.439599,2022-11-02,0
2022-11-03 02:00:02.255424,2022-11-03,0
2022-11-03 18:00:01.673444,2022-11-02,1
2022-11-04 02:00:02.430197,2022-11-04,0
2022-11-04 18:00:02.143317,2022-11-04,2
2022-11-05 07:00:02.032740,2022-11-05,0
2022-11-05 15:00:02.219828,2022-11-05,1
2022-11-06 01:00:02.674347,2022-11-06,0
2022-11-07 01:00:02.415676,2022-11-07,0
2022-11-07 01:00:02.415676,2022-11-06,2
2022-11-07 18:00:02.166420,2022-11-08,0
2022-11-07 18:00:02.166420,2022-11-07,1
2022-11-07 18:00:02.166420,2022-11-06,0
2022-11-07 18:00:02.166420,2022-11-05,3
2022-11-08 18:00:01.980027,2022-11-09,0
2022-11-09 19:00:02.361242,2022-11-10,0
2022-11-10 18:00:02.239743,2022-11-11,0
2022-11-10 18:00:02.239743,2022-11-10,1
2022-11-11 18:00:02.543272,2022-11-12,0
2022-11-11 18:00:02.543272,2022-11-11,1
2022-11-13 01:00:01.666775,2022-11-13,0
2022-11-14 01:00:01.771284,2022-11-14,0
2022-11-14 18:00:01.754516,2022-11-15,0
2022-11-14 18:00:01.754516,2022-11-14,1
2022-11-15 18:00:02.224152,2022-11-16,0
2022-11-15 18:00:02.224152,2022-11-15,2
2022-11-16 18:00:02.658235,2022-11-17,0
2022-11-16 18:00:02.658235,2022-11-16,1
2022-11-16 18:00:02.658235,2022-11-15,3
2022-11-17 18:00:01.892670,2022-11-18,0
2022-11-17 18:00:01.892670,2022-11-17,4
2022-11-17 18:00:01.892670,2022-11-16,3
2022-11-18 18:00:01.650904,2022-11-19,0
2022-11-18 18:00:01.650904,2022-11-18,1
2022-11-19 15:00:02.570162,2022-11-18,3
2022-11-20 01:00:01.985789,2022-11-20,0
2022-11-21 01:00:01.761776,2022-11-21,0
2022-11-21 01:00:01.761776,2022-11-20,1
2022-11-21 18:00:02.591632,2022-11-22,0
2022-11-21 18:00:02.591632,2022-11-20,2
2022-11-21 18:00:02.591632,2022-11-14,2
2022-11-22 17:00:02.256784,2022-11-17,5
2022-11-23 01:00:02.052003,2022-11-23,0
2022-11-24 01:00:01.735604,2022-11-24,0
2022-11-25 01:00:01.928343,2022-11-25,0
2022-11-25 19:00:01.772461,2022-11-26,0
2022-11-27 01:00:01.832909,2022-11-27,0
2022-11-27 13:00:02.383013,2022-11-26,1
2022-11-27 13:00:02.383013,2022-11-25,1
2022-11-28 01:00:01.635822,2022-11-28,0
2022-11-28 18:00:01.659357,2022-11-29,0
2022-11-28 18:00:01.659357,2022-11-26,3
2022-11-28 18:00:01.659357,2022-11-23,1
2022-11-30 05:00:02.602910,2022-11-30,0
2022-11-30 18:00:02.472441,2022-12-01,0
2022-11-30 18:00:02.472441,2022-11-29,1
2022-11-30 18:00:02.472441,2022-11-26,4
2022-12-02 01:00:02.211061,2022-12-02,0
2022-12-02 18:00:02.380611,2022-12-03,0
2022-12-03 19:00:01.958752,2022-12-04,0
2022-12-04 20:00:02.517066,2022-12-05,0
2022-12-05 18:00:02.164317,2022-12-06,0
2022-12-05 18:00:02.164317,2022-12-02,1
2022-12-06 17:00:02.116143,2022-12-06,1
2022-12-07 01:00:02.266284,2022-12-07,0
2022-12-07 18:00:02.455448,2022-12-08,0
2022-12-09 01:00:02.296866,2022-12-09,0
2022-12-09 18:00:02.356851,2022-12-10,0
2022-12-09 18:00:02.356851,2022-12-09,2
2022-12-11 01:00:01.666782,2022-12-11,0
2022-12-12 01:00:02.430641,2022-12-12,0
2022-12-12 11:00:02.013145,2022-12-10,1
2022-12-12 18:00:02.530615,2022-12-13,0
2022-12-13 18:00:01.907809,2022-12-14,0
2022-12-13 18:00:01.907809,2022-12-10,2
2022-12-14 18:00:02.235374,2022-12-15,0
2022-12-14 18:00:02.235374,2022-12-14,1
2022-12-14 18:00:02.235374,2022-12-13,1
2022-12-15 18:00:02.193210,2022-12-16,0
2022-12-16 18:00:02.415405,2022-12-17,0
2022-12-18 01:00:02.454248,2022-12-18,0
2022-12-18 01:00:02.454248,2022-12-17,1
2022-12-19 01:00:01.879449,2022-12-19,0
2022-12-19 01:00:01.879449,2022-12-18,1
2022-12-19 18:00:01.977156,2022-12-20,0
2022-12-20 18:00:02.066184,2022-12-21,0
2022-12-21 18:00:02.072884,2022-12-22,0
2022-12-22 18:00:02.472116,2022-12-23,0
2022-12-23 18:00:02.086670,2022-12-24,0
2022-12-25 01:00:02.136191,2022-12-25,0
2022-12-26 00:00:01.799193,2022-12-26,0
2022-12-26 01:00:01.992461,2022-12-24,1
2022-12-27 01:00:02.449240,2022-12-27,0
2022-12-27 18:00:02.110249,2022-12-28,0
2022-12-28 18:00:01.856904,2022-12-29,0
2022-12-28 18:00:01.856904,2022-12-23,1
2022-12-29 18:00:01.734476,2022-12-30,0
2022-12-29 18:00:01.734476,2022-12-29,1
2022-12-31 01:00:02.641776,2022-12-31,0
2022-12-31 18:00:02.279508,2022-12-27,1
2022-12-31 18:00:02.279508,2022-12-24,2
2023-01-01 19:00:02.039374,2023-01-02,0
2023-01-01 19:00:02.039374,2023-01-01,0
2023-01-01 19:00:02.039374,2022-12-28,1
2023-01-02 18:00:02.527040,2023-01-03,0
2023-01-02 18:00:02.527040,2023-01-02,1
2023-01-02 18:00:02.527040,2023-01-01,2
2023-01-02 18:00:02.527040,2022-12-31,1
2023-01-02 18:00:02.527040,2022-12-30,1
2023-01-03 18:00:01.676188,2023-01-04,0
2023-01-03 18:00:01.676188,2023-01-03,1
2023-01-03 18:00:01.676188,2023-01-02,2
2023-01-04 19:00:02.387141,2023-01-05,0
2023-01-04 19:00:02.387141,2023-01-04,2
2023-01-04 19:00:02.387141,2023-01-03,2
